Date,Country,Confirmed
26 May 2020,Argentina,13228
20 March 2020,Armenia,136
24 March 2020,Armenia,249
28 March 2020,Armenia,407
31 March 2020,Armenia,532
01 April 2020,Armenia,571
04 April 2020,Armenia,770
06 April 2020,Armenia,833
11 April 2020,Armenia,967
15 April 2020,Armenia,1111
19 April 2020,Armenia,1291
23 April 2020,Armenia,1523
27 April 2020,Armenia,1808
30 April 2020,Armenia,2066
01 May 2020,Armenia,2148
02 May 2020,Armenia,2273
03 May 2020,Armenia,2386
04 May 2020,Armenia,2507
05 May 2020,Armenia,2619
06 May 2020,Armenia,2782
07 May 2020,Armenia,2884
08 May 2020,Armenia,3029
09 May 2020,Armenia,3175
10 May 2020,Armenia,3313
11 May 2020,Armenia,3392
12 May 2020,Armenia,3538
13 May 2020,Armenia,3718
14 May 2020,Armenia,3860
15 May 2020,Armenia,4044
16 May 2020,Armenia,4283
17 May 2020,Armenia,4472
18 May 2020,Armenia,4823
19 May 2020,Armenia,5041
20 May 2020,Armenia,5271
21 May 2020,Armenia,5606
22 May 2020,Armenia,5928
23 May 2020,Armenia,6302
24 May 2020,Armenia,6661
25 May 2020,Armenia,7113
26 May 2020,Armenia,7402
14 March 2020,Australia,250
20 March 2020,Australia,791
24 March 2020,Australia,2044
28 March 2020,Australia,3640
31 March 2020,Australia,4559
01 April 2020,Australia,4862
04 April 2020,Australia,5550
06 April 2020,Australia,5797
11 April 2020,Australia,6303
15 April 2020,Australia,6440
19 April 2020,Australia,6610
23 April 2020,Australia,6662
27 April 2020,Australia,6721
30 April 2020,Australia,6766
01 May 2020,Australia,6778
02 May 2020,Australia,6799
03 May 2020,Australia,6822
04 May 2020,Australia,6847
05 May 2020,Australia,6875
06 May 2020,Australia,6894
07 May 2020,Australia,6913
08 May 2020,Australia,6918
09 May 2020,Australia,6939
10 May 2020,Australia,6948
11 May 2020,Australia,6970
12 May 2020,Australia,6980
13 May 2020,Australia,6989
14 May 2020,Australia,7019
15 May 2020,Australia,7035
16 May 2020,Australia,7044
17 May 2020,Australia,7054
18 May 2020,Australia,7068
19 May 2020,Australia,7072
20 May 2020,Australia,7081
21 May 2020,Australia,7095
22 May 2020,Australia,7099
23 May 2020,Australia,7114
24 May 2020,Australia,7114
25 May 2020,Australia,7126
26 May 2020,Australia,7139
08 March 2020,Austria,104
14 March 2020,Austria,655
20 March 2020,Austria,2388
24 March 2020,Austria,5283
28 March 2020,Austria,8271
31 March 2020,Austria,10180
01 April 2020,Austria,10711
04 April 2020,Austria,11781
06 April 2020,Austria,12297
11 April 2020,Austria,13806
15 April 2020,Austria,14336
19 April 2020,Austria,14749
23 April 2020,Austria,15002
27 April 2020,Austria,15274
30 April 2020,Austria,15452
01 May 2020,Austria,15531
02 May 2020,Austria,15558
03 May 2020,Austria,15597
04 May 2020,Austria,15621
05 May 2020,Austria,15650
06 May 2020,Austria,15684
07 May 2020,Austria,15752
08 May 2020,Austria,15774
09 May 2020,Austria,15833
10 May 2020,Austria,15871
11 May 2020,Austria,15882
12 May 2020,Austria,15961
13 May 2020,Austria,15997
14 May 2020,Austria,16058
15 May 2020,Austria,16109
16 May 2020,Austria,16201
17 May 2020,Austria,16242
18 May 2020,Austria,16269
19 May 2020,Austria,16321
20 May 2020,Austria,16353
21 May 2020,Austria,16404
22 May 2020,Austria,16436
23 May 2020,Austria,16486
24 May 2020,Austria,16503
25 May 2020,Austria,16539
26 May 2020,Austria,16557
28 March 2020,Azerbaijan,182
31 March 2020,Azerbaijan,298
01 April 2020,Azerbaijan,359
04 April 2020,Azerbaijan,521
06 April 2020,Azerbaijan,641
11 April 2020,Azerbaijan,1058
15 April 2020,Azerbaijan,1253
19 April 2020,Azerbaijan,1398
